"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"17902","FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA","730001","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","5376843.34","3798656.06","1578187.28"
"17902","LOTERIA DO ESTADO DA PARAIBA","270301","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","267144.17","171429.91","95714.26"
"18101","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","180001","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","1978254.60","1961592.26","16662.34"
"19101","SECRETARIA DE ESTADO DA ADMINISTRACAO","190001","SECRETARIA DE ESTADO DA ADMINISTRACAO","22779712.05","22685776.64","93935.41"
"19201","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR","190101","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR - IPEP","32478002.22","31754487.27","723514.95"
"19202","ESPEP - ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA","190201","ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA - ESPEP","406002.28","367687.64","38314.64"
"19204","CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA","190401","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA","18697994.57","16061410.95","2636583.62"
"19901","FUNDO ESPECIAL DE DESENV DE RECURSOS HUMANOS","490001","FUNDO ESPECIAL DE DESENVOLVIMENTO DE RECURSOS HUMANOS","1785745.23","1733692.74","52052.49"
"20101","SECRETARIA DE ESTADO DAS FINANCAS","200001","SECRETARIA EXECUTIVA DA FAZENDA","7932577.64","7914885.12","17692.52"
"2101","TRIBUNAL DE CONTAS","20001","TRIBUNAL DE CONTAS","103459367.14","97816607.31","5642759.83"
"21101","SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO","210001","GABINETE DO SECRETARIO","10587468.77","10548528.84","38939.93"
"21201","CIA DE DESENVOLVIMENTO DA PARAIBA","210101","COMPANHIA DE INDUSTRIALIZACAO DO ESTADO DA PARAIBA","10342370.66","9979149.43","363221.23"
"21202","EMPRESA PARAIBANA DE TURISMO SA  -  PB-TUR","210201","EMPRESA PARAIBANA DE TURISMO - PB/TUR","4152160.53","4030125.86","122034.67"
"21204","INSTITUTO DE METROLOGIA E QUALIDADE INDUST. DA PARAIBA","210401","INSTITUTO DE METROLOGIA E QUALIDADE INDUST DA PB IMEQ","6500974.75","6457634.50","43340.25"
"21205","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","JUNTA COMERCIAL DO ESTADO DA PARAIBA","167443.43","167443.43","0.00"
"21205","JUNTA COMERCIAL DO ESTADO DA PARAIBA","210501","JUNTA COMERCIAL DO ESTADO DA PARAIBA","5052591.26","4900366.26","152225.00"
"21207","PB-TUR HOTEIS S/A","210701","PB-TUR HOTEIS S/A","447917.53","447018.17","899.36"
"21212","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA","211201","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS - CDRM","17532596.98","17432957.47","99639.51"
"21901","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","770001","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","18877095.57","18760545.57","116550.00"
"21902","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PB","650001","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PARAíBA","1458997.32","1768.05","1457229.27"
"22101","SECRETARIA DE ESTADO DA EDUCACAO","220001","SECRETARIA DE ESTADO DA EDUCACAO","1073651859.20","961235192.42","112416666.78"
"22101","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","SECRETARIA DE ESTADO DA EDUCACAO","53252.93","53252.93","0.00"
"22101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SECRETARIA DE ESTADO DA EDUCACAO","12810183.17","12698784.52","111398.65"
"22102","SECRETARIA DE ESTADO DA EDUCACAO","220001","PRIMEIRA GERENCIA REGIONAL DE ENSINO - JOAO PESSOA","303578.22","302618.22","960.00"
"22103","SECRETARIA DE ESTADO DA EDUCACAO","220001","SEGUNDA GERENCIA REGIONAL DE ENSINO - GUARABIRA","96360.99","94138.99","2222.00"
"22104","SECRETARIA DE ESTADO DA EDUCACAO","220001","TERCEIRA GERENCIA REGIONAL DE ENSINO - CAMPINA GRANDE","109885.73","105640.73","4245.00"
"22105","SECRETARIA DE ESTADO DA EDUCACAO","220001","QUARTA GERENCIA REGIONAL DE ENSINO - CUITE","85651.60","85651.60","0.00"
"22106","SECRETARIA DE ESTADO DA EDUCACAO","220001","QUINTA GERENCIA REGIONAL DE ENSINO - MONTEIRO","94061.58","94061.58","0.00"
"22107","SECRETARIA DE ESTADO DA EDUCACAO","220001","SEXTA GERENCIA REGIONAL DE ENSINO - PATOS","184911.62","180444.86","4466.76"
"22108","SECRETARIA DE ESTADO DA EDUCACAO","220001","SETIMA GERENCIA REGIONAL DE ENSINO - ITAPORANGA","57153.38","57153.38","0.00"
"22109","SECRETARIA DE ESTADO DA EDUCACAO","220001","OITAVA GERENCIA REGIONAL DE ENSINO - CATOLE DO ROCHA","80636.00","79806.00","830.00"
"22110","SECRETARIA DE ESTADO DA EDUCACAO","220001","NONA GERENCIA REGIONAL DE ENSINO - CAJAZEIRAS","160229.57","159679.57","550.00"
"22112","SECRETARIA DE ESTADO DA EDUCACAO","220001","DECIMA PRIMEIRA GER REG DE ENSINO - PRINCESA_ISABEL","126454.79","126454.79","0.00"
"22204","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","UNIVERSIDADE ESTADUAL DA PARAIBA - UEPB","251922563.40","249093092.87","2829470.53"
"22205","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","220501","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","210912.58","208942.62","1969.96"
"22208","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEF FUNAD","180505.23","138723.83","41781.40"
"22208","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEF FUNAD","6654171.29","6591158.25","63013.04"
"23101","CORPO DE BOMBEIROS MILITAR","230001","CORPO DE BOMBEIROS MILITAR","72263783.06","72086073.01","177710.05"
"23901","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","172806.10","172806.10","0.00"
"23901","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","570001","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","13540276.89","9398014.91","4142261.98"
"24101","SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA","240001","GABINETE DO SECRETARIO","120622797.72","111790840.85","8831956.87"
"25101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SECRETARIA DE ESTADO DA SAUDE","8671391.63","8500183.92","171207.71"
"25101","SECRETARIA DE ESTADO DA SAUDE","250001","SECRETARIA DE ESTADO DA SAUDE","933042947.28","852466505.62","80576441.66"
"25102","SECRETARIA DE ESTADO DA SAUDE","250001","CONSELHO ESTADUAL DE SAUDE","994935.72","929509.69","65426.03"
"25201","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","250101","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","447844.22","422638.90","25205.32"
"25202","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","250201","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA - AGEVISA","2953873.02","2837438.45","116434.57"
"26101","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","GABINETE DO SECRETARIO","189034616.95","188296256.27","738360.68"
"26102","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","1810995.26","1764373.15","46622.11"
"26102","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","435438.64","435438.64","0.00"
"26201","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","419807.00","184258.56","235548.44"
"26201","DEPARTAMENTO ESTADUAL DE TRANSITO","260101","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","112979042.73","109976702.71","3002340.02"
"26201","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","8000000.00","8000000.00","0.00"
"26901","FUNDO ESPECIAL DA SEGURANCA PUBLICA","460001","FUNDO ESPECIAL DE SEGURANCA PUBLICA - FESP","3012770.77","2305643.55","707127.22"
"27101","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","GABINETE DO SECRETARIO","10983053.95","10839360.17","143693.78"
"27101","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","GABINETE DO SECRETARIO","81005394.57","77821176.74","3184217.83"
"27101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","GABINETE DO SECRETARIO","620444.89","620444.89","0.00"
"27201","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDACAO DESENV DA CRIANCA E DO ADOLES ALICE DE ALMEIDA","30406317.10","29818938.69","587378.41"
"27202","FUNDACAO DE ACAO COMUNITARIA","270201","FUNDACAO DE ACAO COMUNITARIA","44532161.55","41447602.52","3084559.03"
"27203","LOTERIA DO ESTADO DA PARAIBA","270301","LOTERIA DO ESTADO DA PARAIBA - LOTEP","855395.40","819524.77","35870.63"
"27204","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","COMPANHIA ESTADUAL DE HABITACAO POPULAR CEHAP","47611180.22","46271887.75","1339292.47"
"27901","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","480001","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","50183.38","50183.38","0.00"
"27902","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL","500001","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL - FEAS","6342133.61","5874978.52","467155.09"
"27903","FUNDO ESTADUAL DE HAB E REG FUNDIARIA DE INTER SOCIAL","710001","FUNDO ESTADUAL DE HAB E REGUL FUNDIARIA DE INTER GERAL","200.00","200.00","0.00"
"28101","SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA","280001","GABINETE DO SECRETARIO","283639762.29","252753607.16","30886155.13"
"28201","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","280101","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","10290249.52","9828427.16","461822.36"
"28204","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PB - FAPESQ","280401","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PARAIBA","2720126.08","2520956.83","199169.25"
"28205","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","280501","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","2464560.07","2441985.15","22574.92"
"28901","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","590001","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","132064.97","101334.48","30730.49"
"28902","FUNDO ESTADUAL DE RECURSOS HIDRICOS","610001","FUNDO ESTADUAL DE RECURSOS HIDRICOS","116248.66","116248.66","0.00"
"2901","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANC MUNICIPAL","630001","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANCEIRA MUNICIP","394251.76","394251.76","0.00"
"29101","SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL","290001","GABINETE DO SECRETARIO","52462492.77","52211396.64","251096.13"
"29202","A UNIAO - SUP. DE IMPRENSA E EDITORA","290201","A UNIAO SUPERINTENDENCIA DE IMPRENSA E EDITORA","11242741.91","8352699.90","2890042.01"
"29203","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","290301","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","2341669.25","2302058.58","39610.67"
"30101","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","RECURSOS SOB SUPERVISAO DA SECRETARIA DA ADMINISTRACAO","178155025.08","162760670.31","15394354.77"
"30102","ENCARGOS GERAIS DO ESTADO - SUP FINANCAS","300002","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","503003592.23","502102295.21","901297.02"
"30102","SECRETARIA DE ESTADO DA SAUDE","250001","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","1946461.92","1446461.92","500000.00"
"30102","SECRETARIA DE ESTADO DA RECEITA","170001","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","262726.32","262726.32","0.00"
"30102","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","126598.84","126128.84","470.00"
"32101","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","17988286.02","16939449.78","1048836.24"
"32102","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","SUBSECRETARIA DO ORCAMENTO DEMOCRATICO","855994.20","855439.35","554.85"
"32201","IDEME - INST DE DESENV MUNICIPAL E ESTADUAL","320101","INSTITUTO DE DESENVOLVIMENTO MUNICIPAL E ESTADUAL IDEME","476298.03","476298.03","0.00"
"32901","FUNDO DE COMBATE E ERRADICACAO DA POBREZA NO ESTADO PB","670001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","13812691.65","11316981.61","2495710.04"
"32901","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","12500000.00","0.00","12500000.00"
"32901","SEC. DE ESTADO DO DES. E DA ARTICULACAO MUNICIPAL","120001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","3477756.54","1143800.44","2333956.10"
"32902","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","750001","FUNDO DE DESENVOLVIMENTO DO ESTADO DA PARAIBA","423960.79","273960.79","150000.00"
"33101","PROJETO COOPERAR DO ESTADO DA PARAIBA","330001","PROJETO NORDESTE","10191073.44","9726974.96","464098.48"
"34101","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","GABINETE DO SECRETARIO","85614897.69","84879929.09","734968.60"
"34102","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","COMISSAO DE DEFESA CIVIL DO ESTADO DA PARAIBA","48553666.48","48473510.12","80156.36"
"34103","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","UNIDADE EXECUTIVA LOCAL - PAC NA PARAIBA","47705461.52","38487953.62","9217507.90"
"34201","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","DEPARTAMENTO DE ESTRADAS DE RODAGEM - DER","278854605.04","262837201.69","16017403.35"
"34202","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA DE OBRAS DO PLANO DE DESENV DO ESTADO","136835249.42","135557470.54","1277778.88"
"34203","COMPANHIA DOCAS DA PARAIBA","340301","COMPANHIA DOCAS DA PARAIBA","18128365.69","17061962.50","1066403.19"
"34206","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA","340601","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA CAGEPA","41353144.97","35686120.85","5667024.12"
"35101","SEC DE ESTADO DO DESENV DA AGROPECUARIA E DA PESCA","350001","GABINETE DO SECRETÁRIO","30621573.73","30426476.35","195097.38"
"35201","EMATER - EMP. DE ASSISTENCIA TECNICA E EXTENCAO RURAL","350101","EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DA PB","96972826.14","94883342.82","2089483.32"
"35202","EMEPA - EMP. ESTADUAL DE PESQUISA AGRO. DA PARAIBA","350201","EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DA PARAIBA","20529104.44","19539986.00","989118.44"
"35203","INTERPA - INS. DE TERRAS E PLAN. AGRI. EST. DA PARAIBA","350301","INSTITUTO DE TERRAS E PLANEJ AGRIC DO EST DA PARAIBA","9632808.66","9529548.83","103259.83"
"35204","EMPASA - EMP. PARAIBANA DE ABAST. E SERV. AGRICOLAS","350401","EMPRESA PARAIBANA DE ABASTECIMENTO E SERV AGRICOLAS PB","36010036.52","35140392.02","869644.50"
"35901","FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB","680001","FUNDO DE DESENV AGROPECUARIO DO ESTADO DA PARAíBA","21540900.90","20910168.47","630732.43"
"35901","SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA","280001","FUNDO DE DESENV AGROPECUARIO DO ESTADO DA PARAíBA","286595.77","179789.45","106806.32"
"36101","SECRETARIA DE ESTADO DA CULTURA","360001","SECRETARIA DE ESTADO DA CULTURA","5500506.79","5200773.74","299733.05"
"36201","FUNDACAO ESPACO CULTURAL DA PARAIBA","360101","FUNDACAO ESPACO CULTURAL DO ESTADO DA PARAIBA","5149080.41","5034498.34","114582.07"
"36203","FUNDACAO CASA DE JOSE AMERICO","360301","FUNDACAO CASA DE JOSE AMERICO","680549.39","670729.39","9820.00"
"36206","FUNDACAO ERNANI SATYRO","360601","FUNDACAO ERNANI SATYRO","481563.26","476613.45","4949.81"
"36209","INST. DE PATRIMONIO HISTORICO E ART. DO EST. DA PARAIBA","360901","INSTIT. DO PATRIMONIO HIST. E ARTIST. DO E.PB","68927.95","68927.95","0.00"
"36902","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","760001","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","3007903.48","2235757.28","772146.20"
"5101","JUSTICA COMUM","50001","JUSTICA COMUM","435543104.94","433807165.81","1735939.13"
"5102","JUSTICA COMUM","50001","ENCARGOS JUDICIARIOS","96661169.49","96640829.49","20340.00"
"5901","FUNDO ESPECIAL DO PODER JUDICIARIO","530001","FUNDO ESPECIAL DO PODER JUDICIARIO","22730397.71","21606952.50","1123445.21"
"5901","JUSTICA COMUM","50001","FUNDO ESPECIAL DO PODER JUDICIARIO","38745824.92","38745824.92","0.00"
"6101","MINISTERIO PUBLICO","60001","MINISTERIO PUBLICO","178672222.18","176349662.77","2322559.41"
"6902","FUNDO ESPECIAL DO MINISTERIO PUBLICO","800001","FUNDO ESPECIAL DO MINISTERIO PUBLICO","4515984.00","4215877.97","300106.03"
"7101","SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER","70001","GABINETE DO SECRETARIO","6955244.65","6791005.22","164239.43"
"9101","CASA CIVIL DO GOVERNADOR","90001","CASA CIVIL DO GOVERNADOR","16584007.24","16426050.04","157957.20"
"9102","GABINETE VICE GOVERNADOR","90002","GABINETE DO VICE-GOVERNADOR","2103252.95","2087640.47","15612.48"
"9103","CASA MILITAR","90003","CASA MILITAR","13451817.83","13395689.73","56128.10"
"9104","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","90004","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","555562.18","552412.64","3149.54"
"9201","PARAIBA PREVIDENCIA - PBPREV","90101","PARAIBA PREVIDENCIA - PBPREV","1455821994.92","1455437141.13","384853.79"
"9202","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","90201","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","2289726.48","2233193.54","56532.94"
